filename,full_path,file_size_bytes,encrypted,password_10001_attempted,password_success,text_extracted,scanned_image_suspected,ocr_needed,detected_insurance_name_from_filename_path,likely_document_type,why_not_parsed,exact_technical_error,recommended_fix,recovery_status,recovery_method,recovered_text_path,extracted_text_length
20240311_164147.jpg,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/20240311_164147.jpg,1665976,NO,NO,NOT_APPLICABLE,NO,YES,YES,,Image evidence,Unsupported file type: .jpg,Unsupported file type: .jpg | diagnostic probe: Not a PDF.,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,image OCR required,,0
20240311_164152.jpg,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/20240311_164152.jpg,1393724,NO,NO,NOT_APPLICABLE,NO,YES,YES,,Image evidence,Unsupported file type: .jpg,Unsupported file type: .jpg | diagnostic probe: Not a PDF.,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,image OCR required,,0
20240405_165730.jpg,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/20240405_165730.jpg,1469412,NO,NO,NOT_APPLICABLE,NO,YES,YES,,Image evidence,Unsupported file type: .jpg,Unsupported file type: .jpg | diagnostic probe: Not a PDF.,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,image OCR required,,0
20240405_165739.jpg,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/20240405_165739.jpg,1457684,NO,NO,NOT_APPLICABLE,NO,YES,YES,,Image evidence,Unsupported file type: .jpg,Unsupported file type: .jpg | diagnostic probe: Not a PDF.,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,image OCR required,,0
20240408_084359.jpg,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/20240408_084359.jpg,1299674,NO,NO,NOT_APPLICABLE,NO,YES,YES,,Image evidence,Unsupported file type: .jpg,Unsupported file type: .jpg | diagnostic probe: Not a PDF.,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,image OCR required,,0
20240408_084402.jpg,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/20240408_084402.jpg,1469114,NO,NO,NOT_APPLICABLE,NO,YES,YES,,Image evidence,Unsupported file type: .jpg,Unsupported file type: .jpg | diagnostic probe: Not a PDF.,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,image OCR required,,0
20240703_075547.jpg,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/20240703_075547.jpg,2251824,NO,NO,NOT_APPLICABLE,NO,YES,YES,,Image evidence,Unsupported file type: .jpg,Unsupported file type: .jpg | diagnostic probe: Not a PDF.,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,image OCR required,,0
20240703_075552.jpg,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/20240703_075552.jpg,2497973,NO,NO,NOT_APPLICABLE,NO,YES,YES,,Image evidence,Unsupported file type: .jpg,Unsupported file type: .jpg | diagnostic probe: Not a PDF.,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,image OCR required,,0
20240703_075559.jpg,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/20240703_075559.jpg,2268736,NO,NO,NOT_APPLICABLE,NO,YES,YES,,Image evidence,Unsupported file type: .jpg,Unsupported file type: .jpg | diagnostic probe: Not a PDF.,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,image OCR required,,0
20250123_111709.jpg,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/20250123_111709.jpg,7107336,NO,NO,NOT_APPLICABLE,NO,YES,YES,,Image evidence,Unsupported file type: .jpg,Unsupported file type: .jpg | diagnostic probe: Not a PDF.,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,image OCR required,,0
20250123_111809.jpg,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/20250123_111809.jpg,6484070,NO,NO,NOT_APPLICABLE,NO,YES,YES,,Image evidence,Unsupported file type: .jpg,Unsupported file type: .jpg | diagnostic probe: Not a PDF.,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,image OCR required,,0
20250123_111813.jpg,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/20250123_111813.jpg,6950446,NO,NO,NOT_APPLICABLE,NO,YES,YES,,Image evidence,Unsupported file type: .jpg,Unsupported file type: .jpg | diagnostic probe: Not a PDF.,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,image OCR required,,0
20250123_111818.jpg,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/20250123_111818.jpg,5620216,NO,NO,NOT_APPLICABLE,NO,YES,YES,,Image evidence,Unsupported file type: .jpg,Unsupported file type: .jpg | diagnostic probe: Not a PDF.,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,image OCR required,,0
9. Nachweise zur Anmeldung der Mitarbeiter beim Sozialversicherungsträger.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/9. Nachweise zur Anmeldung der Mitarbeiter beim Sozialversicherungsträger.pdf,10087671,YES,YES,YES,NO,NO,NO,,Operating Cost,encrypted PDF unreadable: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable,encrypted PDF unreadable: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable | diagnostic probe: text extraction failed: cryptography>=3.1 is required for AES algorithm,"Install cryptography/pdfplumber/pymupdf or export an unlocked PDF, then rerun extraction.",OCR_REQUIRED,OCR_REQUIRED after PyMuPDF/pypdf/pdfplumber attempts,,0
Anhang_0_89f2ccb8-cd44-42d1-8543-62fb154f58a2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/Anhang_0_89f2ccb8-cd44-42d1-8543-62fb154f58a2.pdf,150235,YES,YES,NO,NO,NO,NO,,Operating Cost,encrypted PDF unreadable: pypdf failed: File has not been decrypted | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable,encrypted PDF unreadable: pypdf failed: File has not been decrypted | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable | diagnostic probe: text extraction failed: File has not been decrypted,"Install cryptography/pdfplumber/pymupdf or export an unlocked PDF, then rerun extraction.",OCR_REQUIRED,OCR_REQUIRED after PyMuPDF/pypdf/pdfplumber attempts,,0
Anhang_1_87cf7c65-857f-4504-b9cf-65144676121d.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/Anhang_1_87cf7c65-857f-4504-b9cf-65144676121d.pdf,417502,YES,YES,NO,NO,NO,NO,,Operating Cost,encrypted PDF unreadable: pypdf failed: File has not been decrypted | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable,encrypted PDF unreadable: pypdf failed: File has not been decrypted | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable | diagnostic probe: text extraction failed: File has not been decrypted,"Install cryptography/pdfplumber/pymupdf or export an unlocked PDF, then rerun extraction.",OCR_REQUIRED,OCR_REQUIRED after PyMuPDF/pypdf/pdfplumber attempts,,0
Arbeitsbescheinigung Georgi Stefanov.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/Arbeitsbescheinigung Georgi Stefanov.pdf,87752,YES,YES,YES,NO,NO,NO,,Operating Cost,encrypted PDF unreadable: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable,encrypted PDF unreadable: pypdf failed: cryptography>=3.1 is required for AES algorithm | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable | diagnostic probe: text extraction failed: cryptography>=3.1 is required for AES algorithm,"Install cryptography/pdfplumber/pymupdf or export an unlocked PDF, then rerun extraction.",OCR_REQUIRED,OCR_REQUIRED after PyMuPDF/pypdf/pdfplumber attempts,,0
BKK .pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/BKK .pdf,954175,NO,YES,NOT_APPLICABLE,NO,YES,YES,BKK,Health insurance document,scanned image PDF requiring OCR: pypdf returned no text | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable,scanned image PDF requiring OCR: pypdf returned no text | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,OCR_REQUIRED after PyMuPDF/pypdf/pdfplumber attempts,,0
BKK Linde Ratenzahlung.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/BKK Linde Ratenzahlung.pdf,15557272,NO,YES,NOT_APPLICABLE,NO,YES,YES,BKK Linde,Installment/payment plan,scanned image PDF requiring OCR: pypdf returned no text | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable,scanned image PDF requiring OCR: pypdf returned no text | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,OCR_REQUIRED after PyMuPDF/pypdf/pdfplumber attempts,,0
KKH.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/KKH.pdf,23837,NO,YES,NOT_APPLICABLE,NO,YES,YES,KKH,Health insurance document,scanned image PDF requiring OCR: pypdf returned no text | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable,scanned image PDF requiring OCR: pypdf returned no text | pdfplumber failed: No module named 'pdfplumber' | OCR unavailable,Run OCR or provide a text-based/exported PDF.,OCR_REQUIRED,OCR_REQUIRED after PyMuPDF/pypdf/pdfplumber attempts,,0
